id,x,y
1,10,20
2,15,35
3,12,28
4,22,45
5,25,50
6,30,32
7,28,38
8,35,42
9,38,48
10,42,52
11,45,58
12,48,62
13,52,68
14,55,72
15,60,78
16,65,85
17,68,90
18,70,95
19,75,100
20,80,105
21,85,110
22,90,115
23,95,120
24,100,125
25,105,130
26,110,135
27,115,140
28,120,145
29,125,150
30,130,155
31,135,160
32,140,165
33,145,170
34,150,175
35,155,180
36,160,185
37,165,190
38,170,195
39,175,200
40,180,205
41,185,210
42,190,215
43,195,220
44,200,225
45,205,230
46,210,235
47,215,240
48,220,245
49,225,250
50,230,255
51,235,260
52,240,265
53,245,270
54,250,275
55,255,280
56,260,285
57,265,290
58,270,295
59,275,300
60,280,305
61,285,310
62,290,315
63,295,320
64,300,325
65,305,330
66,310,335
67,315,340
68,320,345
69,325,350
70,330,355
71,335,360
72,340,365
73,345,370
74,350,375
75,355,380
76,360,385
77,365,390
78,370,395
79,375,400
80,380,405
81,385,410
82,390,415
83,395,420
84,400,425
85,405,430
86,410,435
87,415,440
88,420,445
89,425,450
90,430,455
91,435,460
92,440,465
93,445,470
94,450,475
95,455,480
96,460,485
97,465,490
98,470,495
99,475,500
100,480,505
101,485,510
102,490,515
103,495,520
104,500,525
105,505,530
106,510,535
107,515,540
108,520,545
109,525,550
110,530,555
111,535,560
112,540,565
113,545,570
114,550,575
115,555,580
116,560,585
117,565,590
118,570,595
119,575,600
120,580,605
121,585,610
122,590,615
123,595,620
124,600,625
125,605,630
126,610,635
127,615,640
128,620,645
129,625,650
130,630,655
131,635,660
132,640,665
133,645,670
134,650,675
135,655,680
136,660,685
137,665,690
138,670,695
139,675,700
140,680,705
141,685,710
142,690,715
143,695,720
144,700,725
145,705,730
146,710,735
147,715,740
148,720,745
149,725,750
150,730,755
151,735,760
152,740,765
153,745,770
154,750,775
155,755,780
156,760,785
157,765,790
158,770,795
159,775,800
160,780,805
161,785,810
162,790,815
163,795,820
164,800,825
165,805,830
166,810,835
167,815,840
168,820,845
169,825,850
170,830,855
171,835,860
172,840,865
173,845,870
174,850,875
175,855,880
